2025-09-13 13:50:52 | INFO     | src.core.throttler   | Throttler initialized: orders=5/s, queries=5/s, reserved=4, auto_pause=True
2025-09-13 13:50:52 | INFO     | src.core.market_data | MarketDataManager initialized
2025-09-13 13:50:52 | INFO     | src.core.session_state | SessionStateManager initialized
2025-09-13 13:50:52 | INFO     | src.core.spread_engine | SpreadEngine initialized: batch_interval=10ms, cooldown=0.1s, min_edge=1 ticks
2025-09-13 13:50:52 | INFO     | src.core.router      | Router initialized: entry=ioc_or_market, hedge=limit_or_mid, nxt_mid=True
2025-09-13 13:50:52 | ERROR    | __main__             | Failed to start application: 'KiwoomConnector' object has no attribute 'chejan_data_received'
2025-09-13 13:52:22 | INFO     | root                 | Logging system initialized
2025-09-13 13:52:22 | INFO     | __main__             | === KRX-NXT Arbitrage System Starting ===
2025-09-13 13:52:22 | INFO     | src.core.config_manager | Loading configuration from config/config.yaml
2025-09-13 13:52:31 | INFO     | src.core.throttler   | Throttler initialized: orders=5/s, queries=5/s, reserved=4, auto_pause=True
2025-09-13 13:52:31 | INFO     | src.core.market_data | MarketDataManager initialized
2025-09-13 13:52:31 | INFO     | src.core.session_state | SessionStateManager initialized
2025-09-13 13:52:31 | INFO     | src.core.spread_engine | SpreadEngine initialized: batch_interval=10ms, cooldown=0.1s, min_edge=1 ticks
2025-09-13 13:52:31 | INFO     | src.core.router      | Router initialized: entry=ioc_or_market, hedge=limit_or_mid, nxt_mid=True
2025-09-13 13:52:31 | INFO     | src.kiwoom.execution_gateway | ExecutionGateway initialized
2025-09-13 13:52:31 | INFO     | src.core.pair_manager | PairManager initialized: t_hedge=1000ms, max_concurrent=2, max_per_symbol=1
2025-09-13 13:52:32 | INFO     | src.core.market_data | Screen 101: 200 symbols
2025-09-13 13:52:32 | INFO     | src.core.market_data | Screen 102: 200 symbols
2025-09-13 13:52:32 | INFO     | src.core.market_data | Screen 103: 200 symbols
2025-09-13 13:52:32 | INFO     | src.core.market_data | Screen 104: 112 symbols
2025-09-13 13:52:32 | INFO     | src.core.market_data | Loaded 712 symbols across 4 screen shards
2025-09-13 13:52:32 | ERROR    | src.core.market_data | Exception subscribing screen 101: KiwoomConnector.set_real_reg() got an unexpected keyword argument 'real_type'
2025-09-13 13:52:32 | ERROR    | src.core.market_data | Exception subscribing screen 102: KiwoomConnector.set_real_reg() got an unexpected keyword argument 'real_type'
2025-09-13 13:52:32 | ERROR    | src.core.market_data | Exception subscribing screen 103: KiwoomConnector.set_real_reg() got an unexpected keyword argument 'real_type'
2025-09-13 13:52:32 | ERROR    | src.core.market_data | Exception subscribing screen 104: KiwoomConnector.set_real_reg() got an unexpected keyword argument 'real_type'
2025-09-13 13:52:32 | INFO     | src.core.market_data | Real-time subscriptions: 0/4 screens successful
2025-09-13 13:52:32 | ERROR    | __main__             | Failed to start application: 'MainWindow' object has no attribute 'update_session_state'
2025-09-13 13:56:02 | INFO     | root                 | Logging system initialized
2025-09-13 13:56:02 | INFO     | __main__             | === KRX-NXT Arbitrage System Starting ===
2025-09-13 13:56:02 | INFO     | src.core.config_manager | Loading configuration from config/config.yaml
2025-09-13 13:56:11 | INFO     | src.core.throttler   | Throttler initialized: orders=5/s, queries=5/s, reserved=4, auto_pause=True
2025-09-13 13:56:11 | INFO     | src.core.market_data | MarketDataManager initialized
2025-09-13 13:56:11 | INFO     | src.core.session_state | SessionStateManager initialized
2025-09-13 13:56:11 | INFO     | src.core.spread_engine | SpreadEngine initialized: batch_interval=10ms, cooldown=0.1s, min_edge=1 ticks
2025-09-13 13:56:11 | INFO     | src.core.router      | Router initialized: entry=ioc_or_market, hedge=limit_or_mid, nxt_mid=True
2025-09-13 13:56:11 | INFO     | src.kiwoom.execution_gateway | ExecutionGateway initialized
2025-09-13 13:56:11 | INFO     | src.core.pair_manager | PairManager initialized: t_hedge=1000ms, max_concurrent=2, max_per_symbol=1
2025-09-13 13:56:11 | INFO     | src.core.market_data | Screen 101: 200 symbols
2025-09-13 13:56:11 | INFO     | src.core.market_data | Screen 102: 200 symbols
2025-09-13 13:56:11 | INFO     | src.core.market_data | Screen 103: 200 symbols
2025-09-13 13:56:11 | INFO     | src.core.market_data | Screen 104: 112 symbols
2025-09-13 13:56:11 | INFO     | src.core.market_data | Loaded 712 symbols across 4 screen shards
2025-09-13 13:56:11 | ERROR    | src.core.market_data | Failed to subscribe screen 101: error None
2025-09-13 13:56:12 | ERROR    | src.core.market_data | Failed to subscribe screen 102: error None
2025-09-13 13:56:12 | ERROR    | src.core.market_data | Failed to subscribe screen 103: error None
2025-09-13 13:56:12 | ERROR    | src.core.market_data | Failed to subscribe screen 104: error None
2025-09-13 13:56:12 | INFO     | src.core.market_data | Real-time subscriptions: 0/4 screens successful
2025-09-13 13:56:12 | ERROR    | __main__             | Failed to start application: 'MainWindow' object has no attribute 'update_session_state'
